cve_id,stage,timestamp,input_length,input_words,output_length,output_words
CVE-2024-10019,analyzer,2025-07-10 09:40:44,39469,5870,4853,682
CVE-2024-10026,analyzer,2025-07-10 09:41:11,34415,5093,7809,1095
CVE-2024-10035,analyzer,2025-07-10 09:41:48,32621,4904,17119,2461
CVE-2024-10019,analyzer,2025-07-10 09:55:00,39469,5870,5148,732
CVE-2024-10026,analyzer,2025-07-10 09:55:22,34415,5093,4544,662
CVE-2024-10035,analyzer,2025-07-10 09:55:59,32128,4822,16822,2387
CVE-2024-10019,analyzer,2025-07-10 11:10:43,39469,5870,4790,670
CVE-2024-10026,analyzer,2025-07-10 11:11:26,34415,5093,16121,2323
CVE-2024-10035,analyzer,2025-07-10 11:12:02,32621,4904,16674,2401
CVE-2024-0002,analyzer,2025-07-10 11:13:08,25785,3716,15733,2251
CVE-2024-0003,analyzer,2025-07-10 11:13:34,26163,3806,5761,804
CVE-2024-0005,analyzer,2025-07-10 11:13:58,40410,5883,5049,729
CVE-2025-5388,analyzer,2025-07-10 11:14:36,28766,4219,18223,2597
CVE-2025-5389,analyzer,2025-07-10 11:15:15,29918,4386,16855,2333
CVE-2025-5390,analyzer,2025-07-10 11:15:55,31824,4676,16919,2404
CVE-2024-12511,analyzer,2025-07-12 22:37:50,21977,3203,16630,2267
CVE-2025-22621,analyzer,2025-07-12 22:38:23,27809,3973,17770,2486
CVE-2025-22621,analyzer,2025-07-12 23:10:46,27809,3973,4309,576
CVE-2025-22621,analyzer,2025-07-12 23:37:08,7789,1099,9074,1171
CVE-2024-0002,analyzer,2025-07-12 23:40:20,3720,519,9200,1209
CVE-2024-0003,analyzer,2025-07-12 23:40:40,3876,543,9366,1232
CVE-2024-0005,analyzer,2025-07-12 23:41:01,6632,855,9025,1295
CVE-2024-0093,analyzer,2025-07-12 23:41:20,3336,513,9483,1362
CVE-2024-0101,analyzer,2025-07-12 23:41:41,3368,520,8900,1255
CVE-2024-0103,analyzer,2025-07-12 23:41:55,2564,395,4537,637
CVE-2024-0104,analyzer,2025-07-12 23:42:15,8684,1250,8846,1245
CVE-2024-0112,analyzer,2025-07-12 23:42:32,16978,2499,9204,1255
CVE-2024-0115,analyzer,2025-07-12 23:42:50,4245,638,8961,1287
CVE-2024-0126,analyzer,2025-07-12 23:43:11,8737,1232,9248,1181
CVE-2024-0127,analyzer,2025-07-12 23:43:31,8923,1274,8951,1281
CVE-2024-0130,analyzer,2025-07-12 23:43:46,12466,1748,3197,395
CVE-2024-0138,analyzer,2025-07-12 23:44:06,12283,1726,9076,1261
CVE-2024-0153,analyzer,2025-07-12 23:44:23,15543,2373,8926,1272
CVE-2024-0158,analyzer,2025-07-12 23:44:37,11132,1623,5930,740
CVE-2024-0179,analyzer,2025-07-12 23:44:58,4075,589,8747,1248
CVE-2024-0231,analyzer,2025-07-12 23:45:18,4612,714,9119,1295
CVE-2024-0245,analyzer,2025-07-12 23:45:35,7967,1122,6171,811
CVE-2024-0249,analyzer,2025-07-12 23:45:55,9206,1285,8957,1277
CVE-2024-0336,analyzer,2025-07-12 23:46:15,6366,922,9364,1250
CVE-2024-0520,analyzer,2025-07-12 23:46:27,19650,2926,4194,534
CVE-2024-0793,analyzer,2025-07-12 23:46:46,3630,550,8221,1151
CVE-2024-0852,analyzer,2025-07-12 23:47:06,9568,1330,9425,1353
CVE-2024-0892,analyzer,2025-07-12 23:47:26,5251,791,8850,1237
CVE-2024-0910,analyzer,2025-07-12 23:47:47,4039,593,9228,1286
CVE-2024-0949,analyzer,2025-07-12 23:48:05,13129,1815,4575,577
CVE-2024-0972,analyzer,2025-07-12 23:48:26,9404,1374,9423,1241
CVE-2024-0974,analyzer,2025-07-12 23:48:48,10156,1446,8554,1188
CVE-2024-10009,analyzer,2025-07-12 23:49:07,3829,572,9306,1265
CVE-2024-10019,analyzer,2025-07-12 23:49:24,14784,2204,8918,1281
CVE-2024-10020,analyzer,2025-07-12 23:49:43,9104,1346,9186,1270
CVE-2024-10025,analyzer,2025-07-12 23:50:01,4897,737,9136,1251
CVE-2024-10026,analyzer,2025-07-12 23:50:20,7750,1144,8636,1254
CVE-2024-10035,analyzer,2025-07-12 23:50:38,2804,424,8813,1267
CVE-2024-10040,analyzer,2025-07-12 23:50:58,3435,510,8949,1243
CVE-2024-10050,analyzer,2025-07-12 23:51:17,3693,563,9290,1300
CVE-2024-10051,analyzer,2025-07-12 23:51:36,2546,400,8903,1265
CVE-2024-10083,analyzer,2025-07-12 23:51:57,3942,576,8712,1238
CVE-2024-10084,analyzer,2025-07-12 23:52:17,4427,657,8937,1256
CVE-2024-10097,analyzer,2025-07-12 23:52:36,8904,1309,9029,1255
CVE-2024-10110,analyzer,2025-07-12 23:52:50,2411,380,3550,506
CVE-2024-10111,analyzer,2025-07-12 23:53:09,8836,1295,9037,1247
CVE-2024-10114,analyzer,2025-07-12 23:53:28,8890,1317,9440,1236
CVE-2024-10121,analyzer,2025-07-12 23:53:47,9147,1324,9195,1303
CVE-2024-10124,analyzer,2025-07-12 23:54:07,6235,906,8913,1243
CVE-2024-10131,analyzer,2025-07-12 23:54:26,2835,438,8089,1053
CVE-2024-10141,analyzer,2025-07-12 23:54:45,5465,830,8586,1215
CVE-2024-10143,analyzer,2025-07-12 23:55:01,9876,1371,4755,620
CVE-2024-10149,analyzer,2025-07-12 23:55:22,9748,1330,9042,1286
CVE-2024-10153,analyzer,2025-07-12 23:55:42,4772,720,9291,1332
CVE-2024-10157,analyzer,2025-07-12 23:55:57,4586,695,4031,582
CVE-2024-10173,analyzer,2025-07-12 23:56:17,7703,1121,9028,1251
CVE-2024-10188,analyzer,2025-07-12 23:56:36,2250,362,8860,1246
CVE-2024-10190,analyzer,2025-07-12 23:56:49,2703,408,3090,433
CVE-2024-10193,analyzer,2025-07-12 23:57:08,3662,534,9114,1291
CVE-2024-10203,analyzer,2025-07-12 23:57:23,3970,613,3710,546
CVE-2024-10218,analyzer,2025-07-12 23:57:42,2378,367,9050,1295
CVE-2024-10225,analyzer,2025-07-12 23:58:01,2119,339,9244,1253
CVE-2024-10230,analyzer,2025-07-12 23:58:16,3271,521,4604,591
CVE-2024-10231,analyzer,2025-07-12 23:58:29,3572,562,3235,449
CVE-2024-10241,analyzer,2025-07-12 23:58:48,2755,426,9305,1320
CVE-2024-10245,analyzer,2025-07-12 23:59:07,8476,1213,9418,1284
CVE-2024-10247,analyzer,2025-07-12 23:59:22,5602,777,3245,471
CVE-2024-10252,analyzer,2025-07-12 23:59:43,8201,1153,8775,1237
CVE-2024-10272,analyzer,2025-07-13 00:00:03,8227,1194,9024,1290
CVE-2024-10273,analyzer,2025-07-13 00:00:19,7678,1081,5502,695
CVE-2024-10274,analyzer,2025-07-13 00:00:38,13804,1913,8985,1226
CVE-2024-10275,analyzer,2025-07-13 00:00:58,14126,1979,9453,1254
CVE-2024-10284,analyzer,2025-07-13 00:01:12,8504,1221,3867,515
