CVE ID,Status,Retrieval Time (s),CWE Count,Alt Terms Count,Sparse Count,Dense Count,Graph Count
CVE-2024-0002,SUCCESS,8.73,10,0,8,1,1
CVE-2024-0003,SUCCESS,5.22,10,0,8,1,1
CVE-2024-0005,SUCCESS,5.22,10,0,8,1,1
CVE-2024-0093,SUCCESS,5.17,10,0,8,1,1
CVE-2024-0101,SUCCESS,6.18,10,0,8,1,1
CVE-2024-0103,SUCCESS,5.40,10,0,8,1,1
CVE-2024-0104,SUCCESS,5.60,10,0,8,1,1
CVE-2024-0112,SUCCESS,1.44,10,0,10,0,0
CVE-2024-0115,SUCCESS,6.61,10,0,8,1,1
CVE-2024-0126,SUCCESS,5.16,10,0,8,1,1
CVE-2024-0127,SUCCESS,8.47,10,0,8,1,1
CVE-2024-0130,SUCCESS,7.79,10,0,8,1,1
CVE-2024-0138,SUCCESS,6.08,10,0,8,1,1
CVE-2024-0153,SUCCESS,1.54,10,0,10,0,0
CVE-2024-0158,SUCCESS,1.07,11,0,11,0,0
CVE-2024-0179,SUCCESS,5.11,10,0,8,1,1
CVE-2024-0231,SUCCESS,4.88,10,0,8,1,1
CVE-2024-0245,SUCCESS,4.54,10,0,8,1,1
CVE-2024-0249,SUCCESS,6.06,10,0,8,1,1
CVE-2024-0336,SUCCESS,4.71,10,0,8,1,1
CVE-2024-0520,SUCCESS,1.91,9,0,9,0,0
CVE-2024-0793,SUCCESS,4.19,10,0,8,1,1
CVE-2024-0852,SUCCESS,6.00,10,1,7,1,1
CVE-2024-0892,SUCCESS,5.87,10,1,7,1,1
CVE-2024-0910,SUCCESS,5.23,10,0,8,1,1
CVE-2024-0949,SUCCESS,7.57,10,1,7,1,1
CVE-2024-0972,SUCCESS,5.39,10,0,8,1,1
CVE-2024-0974,SUCCESS,6.19,10,0,8,1,1
CVE-2024-10009,SUCCESS,5.22,10,1,7,1,1
CVE-2024-10019,SUCCESS,1.29,9,0,9,0,0
CVE-2024-10020,SUCCESS,5.63,10,0,8,1,1
CVE-2024-10025,SUCCESS,4.45,10,0,8,1,1
CVE-2024-10026,SKIPPED,8.17,0,0,0,0,0
CVE-2024-10035,SKIPPED,7.58,0,0,0,0,0
CVE-2024-10040,SUCCESS,5.64,10,1,7,1,1
CVE-2024-10050,SUCCESS,4.36,10,0,8,1,1
CVE-2024-10051,SUCCESS,4.97,10,0,8,1,1
CVE-2024-10083,SUCCESS,6.69,10,0,8,1,1
CVE-2024-10084,SUCCESS,4.67,10,0,8,1,1
CVE-2024-10097,SUCCESS,4.51,10,0,8,1,1
CVE-2024-10110,SUCCESS,4.60,10,0,8,1,1
CVE-2024-10111,SUCCESS,4.85,10,0,8,1,1
CVE-2024-10114,SUCCESS,5.37,10,0,8,1,1
CVE-2024-10121,SUCCESS,5.84,10,1,7,1,1
CVE-2024-10124,SUCCESS,5.13,10,0,8,1,1
CVE-2024-10131,SUCCESS,5.66,10,1,7,1,1
CVE-2024-10141,SUCCESS,4.93,10,0,8,1,1
CVE-2024-10143,SUCCESS,7.45,10,0,8,1,1
CVE-2024-10149,SUCCESS,6.64,10,0,8,1,1
CVE-2024-10153,SUCCESS,5.35,10,1,7,1,1
CVE-2024-10157,SUCCESS,4.90,10,1,7,1,1
CVE-2024-10173,SUCCESS,5.89,10,0,8,1,1
CVE-2024-10188,SUCCESS,4.41,10,0,8,1,1
CVE-2024-10190,SUCCESS,5.13,10,0,8,1,1
CVE-2024-10193,SUCCESS,4.75,10,2,6,1,1
CVE-2024-10203,SUCCESS,4.88,10,0,8,1,1
